image,EN,AG,SF,MI_IR,MI_VIS,SSIM_IR,SSIM_VIS,SCD,VIF
00633.png,7.034475663191434,5.419568836170712,16.747284496006987,2.570203671710821,1.245646949363707,0.8532444749384407,0.7486864877691264,0.2821956428625406,0.4424351293309512
00643.png,7.16161978599479,4.545019551408941,13.575213725613251,3.0263516081470114,0.7194812933510317,0.8802879930462607,0.685073120488781,0.7422194754444057,0.4728314243421371
00652.png,7.022208640691029,3.7106991830402056,11.700841708662523,2.365909231583798,0.9067398519611621,0.8439207213800632,0.7580368557825555,0.42201584556067695,0.3999702049934102
00653.png,6.969360532880435,4.721532907238892,13.447253072508095,2.2939717947231157,1.018372262041237,0.8244589466801938,0.7524417697662008,0.11907945391681152,0.4024051846085316
00661.png,6.478544777348064,4.250250700164363,12.348908546078546,2.7877311977020387,1.2081479227509357,0.8423582687927265,0.7447635498195382,0.4476163833721143,0.4058654552086211
00671.png,6.824649233872244,5.2202681988486255,14.427786712166377,2.103218987244976,1.2885833458258948,0.7800697315356219,0.6689508247727477,0.24076019623247913,0.3672528618590802
00676.png,6.836552999588624,5.093253709079858,14.757204226856024,1.824993178627565,1.3727266094701764,0.7563586481328808,0.6247978067701896,0.1589397164030275,0.3258524988328695
00677.png,7.040703931761214,5.494769452529411,14.715487518824059,1.8860559641053083,1.1819280282420648,0.7780986554523459,0.7195476744422264,0.05461375090813947,0.39046014921920125
00687.png,7.188900399286065,5.419175703598783,14.829566882467223,2.724826472418099,1.0550250225074282,0.8205785227785398,0.7023898701598386,0.18828785092652778,0.4305374393843336
00697.png,7.108969688255762,5.00537513288194,13.856018415242144,2.4655609481368046,1.1907108936975754,0.8107990002954871,0.7567290054915191,0.1269625759696139,0.3785557050933048
00712.png,6.865098831298615,4.692383178016083,12.753046541059566,1.191805093475689,1.9218707713738168,0.6294073143590799,0.8240350562141541,1.2348834653423717,0.20823791188873655
00716.png,6.021267626505261,3.1357630887121677,8.373023435180295,1.2819066042522689,1.126027264889876,0.7549490641266882,0.8077146749620258,1.1532775934401944,0.2908881541502607
00719.png,7.281898509117442,18.347207127980912,33.736285566849816,1.2290841248759918,1.4182531604227853,0.4604155097347578,0.6784134256023162,0.003878926135694405,0.16039627494942632
00725.png,7.324235186745693,18.46502128007272,34.044531373211306,1.2079603907705212,1.3776436064918702,0.46417929824276727,0.6743973562658898,0.03792099579887209,0.16366994924038986
00726.png,7.316357535744421,18.491225956219704,34.13124381756858,1.201167704095306,1.3813159522741862,0.45370780822646384,0.669977523160075,0.04854708998852186,0.157627086565887
00738.png,7.307849272315454,15.40101484849298,30.39165151184856,1.4727977150061844,1.637694784817806,0.4399750406966088,0.7275209410677891,0.39023328739608354,0.17886600265975275
00760.png,7.5639375306113,13.553391579463465,28.40359053481809,1.4227823787578329,1.9385633141310612,0.3094019059454001,0.824975278391514,0.4579973288416822,0.11496536665793843
00762.png,7.5845143642723105,15.355909613342362,31.21078470829984,1.2138974163966587,1.823559239007099,0.2935742266919583,0.8245481080336626,0.4288090175966777,0.11482683918509533
00769.png,7.513965159263814,14.187966369150423,29.303566931799796,1.2870774757697698,1.9113684074417532,0.3010864914326332,0.8315093572414212,0.5535453529357096,0.10727049448604449
00787.png,7.134890123341385,14.42675171844548,29.337097209362224,1.0186775905933345,0.8511569734845478,0.709170868111589,0.381851734572979,0.14366503512299078,0.29699176458833215
00800.png,7.0846664426191746,15.685721507648081,31.6094394699264,1.0691164418148382,0.8929120986674565,0.7149206433799735,0.4037003538685367,0.19359438130425477,0.2803654125028573
00801.png,6.929193025865304,8.924406444516913,18.298175820497605,1.2613465288260572,1.7889111329857192,0.38344029522430517,0.8361355722523661,1.1765788481219128,0.09176751398384064
00805.png,6.93870908702693,8.838182294633269,18.15727476352757,1.30465415694914,1.8176507848324344,0.3914978560465912,0.8290563822727741,1.175423341875256,0.10061025075467288
00818.png,7.059867240136392,9.368323962664366,19.0983674938821,1.3337758930397825,1.8560664800387392,0.38494164077225196,0.8181818309799138,1.169882428488951,0.09937689790668779
00825.png,6.997649833257722,5.193800529458036,14.819363223433024,2.4155884496359037,1.5000324222982337,0.7209550853149581,0.7848357237805046,0.3206477615931809,0.35957166488339937
00826.png,7.013337682782375,5.437563220399686,15.412023015534741,2.328935247939835,1.2611880140122855,0.7100325653615616,0.7724844506444932,0.2985960981081423,0.3316289002660721
00829.png,6.954968406418834,5.010154680952497,14.195901567830392,2.3274653204732623,1.2404516722106516,0.720396189809581,0.7773429769212321,0.2553699355039153,0.32392960664022524
