image,VIF,SCD,QABF,MS-SSIM,FMI
75.bmp,0.01243061633494684,1.4042801800896139,0.6320525371287008,0.19067283692158954,0.2973297707678216
76.bmp,0.013179307220875059,1.2688924752029718,0.8063814230383246,0.3038642416371564,0.4875560194402324
77.bmp,0.01263383439838801,1.3810616885914522,0.8090797956601824,0.2041666103892646,0.3211459819126813
78.bmp,0.025065764307605633,1.536803062289369,0.6499934748955677,0.39323178060393815,0.38953868806780273
79.bmp,0.03686775365177579,1.7291803098192402,0.7295624759844055,0.4634757902664097,0.23123193491563948
80.bmp,0.017061409431363188,1.5198041130514706,0.7355193501462813,0.34839059340908257,0.6084146158624881
81.bmp,0.019820612806669205,1.5692453421798407,0.5788330947954432,0.3299349890219614,0.3291230452699365
87.bmp,0.03540614730347741,1.5765814687691484,0.7750136415827191,0.3136956981022542,0.8304745171841144
88.bmp,0.03495684158113642,1.576330327052696,0.7769948885145781,0.3092425199235254,0.8253200757900496
89.bmp,0.035183175619791784,1.5788791132908242,0.7627845749907632,0.30917153451479196,0.8256916099516938
90.bmp,0.034417060817922535,1.5769308052810969,0.766388886130501,0.3065970680427531,0.8163223639297558
91.bmp,0.034118006216740424,1.5758653229358148,0.757106996609109,0.3016556473280189,0.8083676725244202
92.bmp,0.03404612714022605,1.573214901194853,0.7579424775231096,0.29855222237944734,0.7925396843435615
93.bmp,0.0353008769778178,1.5689288569431679,0.7768183538953471,0.3016042295662519,0.7846316630123693
94.bmp,0.03557229971751824,1.5684862623027727,0.7705970447761654,0.30098949438891465,0.7864799984778331
95.bmp,0.03645470312008164,1.5698557834999234,0.7619909427467771,0.2977806616418612,0.7930044264098507
